Class,Family,Genus,Species,BodyMass,Invader_NZ
Mammal,Macropodidae,Onychogalea,lunata,3500,0
Mammal,Macropodidae,Onychogalea,fraenata,5500,0
Mammal,Macropodidae,Petrogale,purpureicollis,5850,0
Mammal,Macropodidae,Petrogale,coenensis,4123.14,0
Mammal,Macropodidae,Petrogale,burbidgei,1258,0
Mammal,Macropodidae,Petrogale,brachyotis,4050,0
Mammal,Macropodidae,Petrogale,assimilis,4500,0
Mammal,Macropodidae,Petrogale,godmani,4750,0
Mammal,Macropodidae,Petrogale,xanthopus,8500,0
Mammal,Macropodidae,Petrogale,sharmani,4123.14,0
Mammal,Macropodidae,Petrogale,herberti,4123.14,0
Mammal,Macropodidae,Petrogale,inornata,4600,0
Mammal,Macropodidae,Petrogale,lateralis,4625,0
Mammal,Macropodidae,Petrogale,mareeba,4123.14,0
Mammal,Macropodidae,Petrogale,concinna,1400,0
Mammal,Macropodidae,Petrogale,persephone,6200,0
Mammal,Macropodidae,Petrogale,rothschildi,3400,0
Mammal,Macropodidae,Petrogale,penicillata,7100,1
Mammal,Macropodidae,Setonix,brachyurus,3250,0
Mammal,Macropodidae,Thylogale,calabyi,4326.13,0
Mammal,Macropodidae,Thylogale,browni,5478,0
Mammal,Macropodidae,Thylogale,thetis,5400,0
Mammal,Macropodidae,Thylogale,stigmatica,4600,0
Mammal,Macropodidae,Thylogale,lanatus,4758.79,0
Mammal,Macropodidae,Thylogale,brunii,3620,0
Mammal,Macropodidae,Thylogale,billardierii,5450,0
Mammal,Macropodidae,Wallabia,bicolor,15000,1
Mammal,Macropodidae,Lagostrophus,fasciatus,1700,0
Mammal,Hypsiprymnodontidae,Hypsiprymnodon,moschatus,520,0
Mammal,Potoroidae,Aepyprymnus,rufescens,3250,0
Mammal,Potoroidae,Bettongia,lesueur,1500,0
Mammal,Potoroidae,Bettongia,penicillata,1300,0
Mammal,Potoroidae,Bettongia,tropica,1256.58,0
Mammal,Potoroidae,Bettongia,gaimardi,1660,0
Mammal,Potoroidae,Caloprymnus,campestris,900,0
Mammal,Potoroidae,Potorous,platyops,500,0
Mammal,Potoroidae,Potorous,gilbertii,1569.46,0
Mammal,Potoroidae,Potorous,longipes,1900,0
Mammal,Potoroidae,Potorous,tridactylus,1100,0
Mammal,Tenrecidae,Geogale,aurita,7,0
Mammal,Tenrecidae,Limnogale,mergulus,78.6,0
Mammal,Tenrecidae,Microgale,longicaudata,7.3,0
Mammal,Tenrecidae,Microgale,thomasi,22.9,0
Mammal,Tenrecidae,Microgale,talazaci,48,0
Mammal,Tenrecidae,Microgale,taiva,12.4,0
Mammal,Tenrecidae,Microgale,soricoides,18.7,0
Mammal,Tenrecidae,Microgale,pusilla,3.4,0
Mammal,Tenrecidae,Microgale,principula,10.2,0
Mammal,Tenrecidae,Microgale,parvula,3.4,0
Mammal,Tenrecidae,Microgale,monticola,13.9,0
Mammal,Tenrecidae,Microgale,gymnorhyncha,18.2,0
Mammal,Tenrecidae,Microgale,gracilis,23.3,0
Mammal,Tenrecidae,Microgale,fotsifotsy,7.7,0
Mammal,Tenrecidae,Microgale,dryas,40,0
Mammal,Tenrecidae,Microgale,drouhardi,10.5,0
Mammal,Tenrecidae,Microgale,dobsoni,38,0
Mammal,Tenrecidae,Microgale,cowani,13.8,0
